Animal,min_ae,max_ae,mean_ae,variance_ae,min_rms,max_rms,mean_rms,variance_rms,min_zcr,max_zcr,mean_zcr,variance_zcr,min_fq,max_fq,mean_fq,variance_fq
Dog,0.0014423477,0.93353575,0.17473818,0.03864479840887551,0.003900478,0.39136124,0.0658243,0.004580170956285829,0.03125,0.119140625,0.06850867402882206,0.00019055676624514628,1.0424287962617031e-06,478.5333061212114,6.333353555014219,414.52449594141257
Dog,0.0033407686,1.0054455,0.21826051,0.037751799124492454,0.0053270436,0.33206832,0.08087022,0.004561040719054129,0.0068359375,0.1005859375,0.06596529116189427,0.0002442678529867902,0.00027529037308067115,508.6536485964173,7.428633373042676,589.3777242227426
Dog,0.015922194,0.80261624,0.18910225,0.009395859023580666,0.005680007,0.3500902,0.08053982,0.001235254212934173,0.03515625,0.1103515625,0.06225562970366886,0.00020126608351188783,5.242098611079353e-05,731.5095799884963,9.44092427023574,961.5753707615054
Dog,0.0035945592,0.90971136,0.31275555,0.03391967895991339,0.004972057,0.33998084,0.13642937,0.0042917238611854865,0.0068359375,0.0986328125,0.0540234375,0.00029765876357206594,0.00034905636855337536,1006.6558429645835,10.568722823147809,1353.789222775159
Dog,0.001697311,0.84181434,0.110339805,0.02418942176798252,0.00084239896,0.32080957,0.04166201,0.003745597187227857,0.025390625,0.2978515625,0.08205602134146342,0.0020046656190973707,0.00011426657860179765,653.6150020872863,11.086802274351577,1314.923977823816
Dog,0.004758965,0.9854231,0.27948663,0.050743714455635316,0.0070507713,0.41127607,0.11197752,0.007253644546136911,0.0224609375,0.0986328125,0.06161961410984849,0.00016351963815540479,0.0012534275518281618,887.9130100718927,10.046785029034465,1235.831829165396
Dog,0.013169063,1.0176843,0.19769141,0.021899741803227235,0.005141782,0.37358373,0.084890164,0.0032241437457656104,0.033203125,0.1044921875,0.06519627139857881,0.0001276181329006017,9.996223245101888e-06,782.4151109667496,8.431180017421239,961.9359513626828
Dog,0.0014815785,0.8341987,0.48246133,0.03307319023335034,0.0042029396,0.3545905,0.22498672,0.006931672749108157,0.013671875,0.0859375,0.05262816276435045,0.00019102366238865298,4.682249185763483e-05,2646.7397341592073,14.957466110237759,4652.088117477387
Dog,0.028671075,0.9958068,0.22440423,0.04005178627969862,0.012459432,0.42022744,0.08594436,0.006397728811391965,0.033203125,0.091796875,0.06493062924448217,0.00011598687312757284,0.00035430333090222504,580.901142002995,9.052190269688595,956.5143205173837
Dog,0.0,0.9015669,0.20276468,0.02868027773552707,0.0,0.27621573,0.065018445,0.003065882457407757,0.0,0.3916015625,0.14077534094712182,0.003312774167550547,0.0007505142040351738,728.292394568934,18.381527894097417,1753.804036034016
Dog,0.013753479,0.79421455,0.16910629,0.02496936753168142,0.00632666,0.34379783,0.06981879,0.003686555248117985,0.0107421875,0.1083984375,0.06407335069444445,0.0002481737033267169,2.0194118204767574e-06,556.9870140824139,8.595536467077833,655.7935356043143
Dog,0.006730311,0.84445083,0.26981747,0.025385333490533842,0.0117051285,0.38107094,0.1259742,0.00562602986576798,0.009765625,0.1064453125,0.05615865229328165,0.0004426351701660581,0.0002024152841203269,877.0710310905737,9.311729611451344,977.44675138001
